brands,models,body,variant,fuel,transmission,city,price,mileage,engine_power
Hyundai,Creta,SUV5,1.5 E,Petrol,Manual, Ghaziabad,12.79,17.40 Km/l,1497 cc
Hyundai,i20 N Line,Hatchback5,N6,Petrol,Manual, Ghaziabad,11.21,20.25 Km/l,998 cc
Hyundai,Venue N-Line,SUV5,N6,Petrol,Manual, Ghaziabad,13.95,20.00 Km/l,998 cc
Hyundai,Venue,SUV5,1.2 E,Petrol,Manual, Ghaziabad,9,17.52 Km/l,1197 cc
Hyundai,Tucson,SUV5,2.0 Platinum AT Petrol,Petrol,Automatic, Ghaziabad,33.5,12.50 Km/l,1999 cc
Hyundai,Exter,SUV5,1.2 EX(O),Petrol,Manual, Ghaziabad,7.47,19.40 Km/l,1197 cc
Hyundai,Verna,Sedan5,1.5 SX,Petrol,Manual, Ghaziabad,15.1,25.00 Km/l,1497 cc
Hyundai,i20,Hatchback5,1.2 Magna,Petrol,Manual, Ghaziabad,8.83,20.35 Km/l,1197 cc
Hyundai,Creta N Line,SUV5,N8,Petrol,Manual, Ghaziabad,19.37,18.00 Km/l,1482 cc
Hyundai,IONIQ 5,SUV5,RWD,Electric,Automatic, Ghaziabad,47.74,631.00 Km/full charge,72600 watt
Hyundai,Creta Electric,SUV5,Executive,Electric,Automatic, Ghaziabad,19.11,390.00 Km/full charge,42000 watt
Hyundai,Alcazar,SUV7,Executive,Petrol,Manual, Ghaziabad,17.17,18.00 Km/l,1482 cc
Hyundai,Creta (2023-2024),SUV5,1.5 SX Executive Diesel,Diesel,Manual, Ghaziabad,17.98,17.00 Km/l,1497 cc
Hyundai,Alcazar (2021-2023),SUV6,1.5 Platinum 7 STR Diesel,Diesel,Manual, Ghaziabad,22.57,14.50 Km/l,1999 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Era,Petrol,Manual, Gurgaon,6.67,18.00 Km/l,1197 cc
Hyundai,Aura,Sedan5,1.2 S CNG,CNG,Manual, Gurgaon,9.48,21.00 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 E,Petrol,Manual, Gurgaon,12.57,17.40 Km/l,1497 cc
Hyundai,i20 N Line,Hatchback5,N6,Petrol,Manual, Gurgaon,11.22,20.25 Km/l,998 cc
Hyundai,Venue N-Line,SUV5,N6,Petrol,Manual, Gurgaon,13.72,20.00 Km/l,998 cc
Hyundai,Venue,SUV5,1.2 S,Petrol,Manual, Gurgaon,10.4,17.52 Km/l,1197 cc
Hyundai,Exter,SUV5,1.2 EX(O),Petrol,Manual, Gurgaon,7.48,19.40 Km/l,1197 cc
Hyundai,Verna,Sedan5,1.5 S,Petrol,Manual, Gurgaon,13.7,25.00 Km/l,1497 cc
Hyundai,i20,Hatchback5,1.2 Asta,Petrol,Manual, Gurgaon,10.6,20.35 Km/l,1197 cc
Hyundai,IONIQ 5,SUV5,RWD,Electric,Automatic, Gurgaon,48.89,631.00 Km/full charge,72600 watt
Hyundai,Tucson,SUV5,2.0 Platinum AT Petrol,Petrol,Automatic, Gurgaon,33.51,12.50 Km/l,1999 cc
Hyundai,Creta N Line,SUV5,N8,Petrol,Manual, Gurgaon,19.04,18.00 Km/l,1482 cc
Hyundai,Alcazar,SUV7,Executive,Petrol,Manual, Gurgaon,16.88,18.00 Km/l,1482 cc
Hyundai,Creta (2023-2024),SUV5,1.5 SX Executive Diesel,Diesel,Manual, Gurgaon,17.67,17.00 Km/l,1497 cc
Hyundai,Alcazar (2021-2023),SUV6,1.5 Platinum 7 STR Diesel,Diesel,Manual, Gurgaon,22.21,14.50 Km/l,1999 cc
Hyundai,Alcazar (2023-2024),SUV6,1.5 Platinum(O) AT 7 STR Diesel,Diesel,Automatic, Gurgaon,23.89,14.50 Km/l,1999 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Sportz,Petrol,Manual, Hyderabad,8.96,18.00 Km/l,1197 cc
Hyundai,Aura,Sedan5,1.2 SX,Petrol,Manual, Hyderabad,9.81,21.00 Km/l,1197 cc
Hyundai,Venue,SUV5,1.5 SX,Diesel,Manual, Hyderabad,15.38,17.52 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 EX,Petrol,Manual, Hyderabad,15.22,17.40 Km/l,1497 cc
Hyundai,i20 N Line,Hatchback5,N8,Petrol,Manual, Hyderabad,13.93,20.25 Km/l,998 cc
Hyundai,Venue N-Line,SUV5,N8 DCT,Petrol,Automatic, Hyderabad,16.97,20.00 Km/l,998 cc
Hyundai,Tucson,SUV5,2.0 Platinum AT Petrol,Petrol,Automatic, Hyderabad,36.36,12.50 Km/l,1999 cc
Hyundai,Exter,SUV5,1.2 EX(O),Petrol,Manual, Hyderabad,7.94,19.40 Km/l,1197 cc
Hyundai,Verna,Sedan5,1.5 EX,Petrol,Manual, Hyderabad,13.69,25.00 Km/l,1497 cc
Hyundai,i20,Hatchback5,1.2 Sportz,Petrol,Manual, Hyderabad,10.13,20.35 Km/l,1197 cc
Hyundai,IONIQ 5,SUV5,RWD,Electric,Automatic, Hyderabad,55.66,631.00 Km/full charge,72600 watt
Hyundai,Creta N Line,SUV5,N10 DCT,Petrol,Automatic, Hyderabad,25.28,18.00 Km/l,1482 cc
Hyundai,Alcazar,SUV6,Signature DCT,Petrol,Automatic, Hyderabad,26.44,18.00 Km/l,1482 cc
Hyundai,Creta Electric,SUV5,Executive,Electric,Automatic, Hyderabad,19.31,390.00 Km/full charge,42000 watt
Hyundai,Creta (2023-2024),SUV5,1.5 SX Executive Diesel,Diesel,Manual, Hyderabad,19.04,17.00 Km/l,1497 cc
Hyundai,Alcazar (2021-2023),SUV6,1.5 Platinum 7 STR Diesel,Diesel,Manual, Hyderabad,23.9,14.50 Km/l,1999 cc
Hyundai,Alcazar,SUV6,Executive,Petrol,Manual, Jaipur,17.73,18.00 Km/l,1482 cc
Hyundai,Aura,Sedan5,1.2 E CNG,CNG,Manual, Jaipur,8.71,21.00 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 SX,Petrol,Manual, Jaipur,18.23,17.40 Km/l,1497 cc
Hyundai,Creta N Line,SUV5,N8,Petrol,Manual, Jaipur,20,18.00 Km/l,1482 cc
Hyundai,Exter,SUV5,1.2 S(O),Petrol,Manual, Jaipur,9.1,19.40 Km/l,1197 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Corporate AMT,Petrol,Automatic, Jaipur,9,18.00 Km/l,1197 cc
Hyundai,i20,Hatchback5,1.2 Magna,Petrol,Manual, Jaipur,9.17,20.35 Km/l,1197 cc
Hyundai,i20 N Line,Hatchback5,N6,Petrol,Manual, Jaipur,11.64,20.25 Km/l,998 cc
Hyundai,IONIQ 5,SUV5,RWD,Electric,Automatic, Jaipur,49.04,631.00 Km/full charge,72600 watt
Hyundai,Tucson,SUV5,2.0 Platinum AT Petrol,Petrol,Automatic, Jaipur,34.61,12.50 Km/l,1999 cc
Hyundai,Venue,SUV5,1.2 SX,Petrol,Manual, Jaipur,13.12,17.52 Km/l,1197 cc
Hyundai,Venue N-Line,SUV5,N6,Petrol,Manual, Jaipur,14.21,20.00 Km/l,998 cc
Hyundai,Verna,Sedan5,1.5 SX,Petrol,Manual, Jaipur,15.59,25.00 Km/l,1497 cc
Hyundai,Creta Electric,SUV5,Excellence LR,Electric,Automatic, Jaipur,25.24,390.00 Km/full charge,42000 watt
Hyundai,Creta (2023-2024),SUV5,1.5 SX Executive Diesel,Diesel,Manual, Jaipur,18.52,17.00 Km/l,1497 cc
Hyundai,Alcazar (2021-2023),SUV6,1.5 Platinum 7 STR Diesel,Diesel,Manual, Jaipur,23.29,14.50 Km/l,1999 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Sportz AMT,Petrol,Automatic, Mumbai,9.48,18.00 Km/l,1197 cc
Hyundai,Aura,Sedan5,1.2 E CNG,CNG,Manual, Mumbai,8.66,21.00 Km/l,1197 cc
Hyundai,Venue,SUV5,1.2 S,Petrol,Manual, Mumbai,10.86,17.52 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 S Diesel,Diesel,Manual, Mumbai,18.16,17.40 Km/l,1497 cc
Hyundai,i20 N Line,Hatchback5,N8 DCT,Petrol,Automatic, Mumbai,14.71,20.25 Km/l,998 cc
Hyundai,Venue N-Line,SUV5,N6,Petrol,Manual, Mumbai,14.44,20.00 Km/l,998 cc
Hyundai,Tucson,SUV5,2.0 Platinum AT Petrol,Petrol,Automatic, Mumbai,35.11,12.50 Km/l,1999 cc
Hyundai,Exter,SUV5,1.2 S CNG,CNG,Manual, Mumbai,9.83,19.40 Km/l,1197 cc
Hyundai,Verna,Sedan5,1.5 SX IVT,Petrol,Automatic, Mumbai,17.16,25.00 Km/l,1497 cc
Hyundai,Creta N Line,SUV5,N10 DCT,Petrol,Automatic, Mumbai,24.59,18.00 Km/l,1482 cc
Hyundai,i20,Hatchback5,1.2 Sportz,Petrol,Manual, Mumbai,9.94,20.35 Km/l,1197 cc
Hyundai,IONIQ 5,SUV5,RWD,Electric,Automatic, Mumbai,48.64,631.00 Km/full charge,72600 watt
Hyundai,Alcazar,SUV6,Signature DCT,Petrol,Automatic, Mumbai,25.57,18.00 Km/l,1482 cc
Hyundai,Creta Electric,SUV5,Executive,Electric,Automatic, Mumbai,19.34,390.00 Km/full charge,42000 watt
Hyundai,Creta (2023-2024),SUV5,1.5 SX Executive Diesel,Diesel,Manual, Mumbai,18.72,17.00 Km/l,1497 cc
Hyundai,Alcazar (2021-2023),SUV6,1.5 Platinum 7 STR Diesel,Diesel,Manual, Mumbai,23.38,14.50 Km/l,1999 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Era,Petrol,Manual, Noida,6.84,18.00 Km/l,1197 cc
Hyundai,Aura,Sedan5,1.2 SX,Petrol,Manual, Noida,9.23,21.00 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 E,Petrol,Manual, Noida,12.79,17.40 Km/l,1497 cc
Hyundai,i20 N Line,Hatchback5,N6,Petrol,Manual, Noida,11.21,20.25 Km/l,998 cc
Hyundai,Venue N-Line,SUV5,N6,Petrol,Manual, Noida,13.95,20.00 Km/l,998 cc
Hyundai,Venue,SUV5,1.2 E,Petrol,Manual, Noida,9,17.52 Km/l,1197 cc
Hyundai,Tucson,SUV5,2.0 Platinum AT Petrol,Petrol,Automatic, Noida,33.5,12.50 Km/l,1999 cc
Hyundai,Verna,Sedan5,1.5 SX,Petrol,Manual, Noida,15.1,25.00 Km/l,1497 cc
Hyundai,Exter,SUV5,1.2 EX(O),Petrol,Manual, Noida,7.47,19.40 Km/l,1197 cc
Hyundai,i20,Hatchback5,1.2 Magna,Petrol,Manual, Noida,8.83,20.35 Km/l,1197 cc
Hyundai,Creta N Line,SUV5,N8,Petrol,Manual, Noida,19.37,18.00 Km/l,1482 cc
Hyundai,IONIQ 5,SUV5,RWD,Electric,Automatic, Noida,47.74,631.00 Km/full charge,72600 watt
Hyundai,Creta Electric,SUV5,Executive,Electric,Automatic, Noida,19.11,390.00 Km/full charge,42000 watt
Hyundai,Alcazar,SUV7,Executive,Petrol,Manual, Noida,17.17,18.00 Km/l,1482 cc
Hyundai,Creta (2023-2024),SUV5,1.5 SX Executive Diesel,Diesel,Manual, Noida,17.98,17.00 Km/l,1497 cc
Hyundai,Alcazar (2021-2023),SUV6,1.5 Platinum 7 STR Diesel,Diesel,Manual, Noida,22.57,14.50 Km/l,1999 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Sportz,Petrol,Manual, Pune,8.86,18.00 Km/l,1197 cc
Hyundai,Aura,Sedan5,1.2 S,Petrol,Manual, Pune,8.81,21.00 Km/l,1197 cc
Hyundai,Venue,SUV5,1.2 E,Petrol,Manual, Pune,9.45,17.52 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 EX,Petrol,Manual, Pune,14.79,17.40 Km/l,1497 cc
Hyundai,i20 N Line,Hatchback5,N6,Petrol,Manual, Pune,11.78,20.25 Km/l,998 cc
Hyundai,Venue N-Line,SUV5,N6,Petrol,Manual, Pune,14.52,20.00 Km/l,998 cc
Hyundai,Tucson,SUV5,2.0 Platinum AT Petrol,Petrol,Automatic, Pune,35.16,12.50 Km/l,1999 cc
Hyundai,Exter,SUV5,1.2 S,Petrol,Manual, Pune,9.03,19.40 Km/l,1197 cc
Hyundai,Verna,Sedan5,1.5 SX(O) IVT,Petrol,Automatic, Pune,19.54,25.00 Km/l,1497 cc
Hyundai,IONIQ 5,SUV5,RWD,Electric,Automatic, Pune,49.04,631.00 Km/full charge,72600 watt
Hyundai,i20,Hatchback5,1.2 Sportz,Petrol,Manual, Pune,10.01,20.35 Km/l,1197 cc
Hyundai,Creta N Line,SUV5,N10,Petrol,Manual, Pune,23.19,18.00 Km/l,1482 cc
Hyundai,Creta Electric,SUV5,Executive,Electric,Automatic, Pune,19.5,390.00 Km/full charge,42000 watt
Hyundai,Alcazar,SUV7,Platinum DCT,Petrol,Automatic, Pune,25.3,18.00 Km/l,1482 cc
Hyundai,Creta (2023-2024),SUV5,1.5 SX Executive Diesel,Diesel,Manual, Pune,18.64,17.00 Km/l,1497 cc
Hyundai,Alcazar (2021-2023),SUV6,1.5 Platinum 7 STR Diesel,Diesel,Manual, Pune,23.38,14.50 Km/l,1999 cc
Renault,Kiger,SUV5,RXT(O) CVT Turbo,Petrol,Automatic, Ahmedabad,11.73,19.17 Km/l,999 cc
Renault,Kwid,Hatchback5,1.0 RXE,Petrol,Manual, Ahmedabad,5.36,23.00 Km/l,999 cc
Renault,Triber,MPV,1.0 RXE,Petrol,Manual, Ahmedabad,6.82,19.00 Km/l,999 cc
Renault,Kiger,SUV5,RXT(O) CVT Turbo,Petrol,Automatic, Bangalore,13.07,19.17 Km/l,999 cc
Renault,Kwid,Hatchback5,1.0 RXE,Petrol,Manual, Bangalore,5.82,23.00 Km/l,999 cc
Renault,Triber,MPV,1.0 RXE,Petrol,Manual, Bangalore,7.4,19.00 Km/l,999 cc
Renault,Kiger,SUV5,RXE,Petrol,Manual, Chennai,7.21,19.17 Km/l,999 cc
Renault,Kwid,Hatchback5,1.0 RXL(O),Petrol,Manual, Chennai,5.98,23.00 Km/l,999 cc
Renault,Triber,MPV,1.0 RXL,Petrol,Manual, Chennai,8.15,19.00 Km/l,999 cc
Renault,Kiger,SUV5,RXE,Petrol,Manual, Delhi,6.73,19.17 Km/l,999 cc
Renault,Triber,MPV,1.0 RXE,Petrol,Manual, Delhi,6.73,19.00 Km/l,999 cc
Renault,Kwid,Hatchback5,1.0 RXL(O),Petrol,Manual, Delhi,5.65,23.00 Km/l,999 cc
Renault,Triber,MPV,1.0 RXE,Petrol,Manual, Faridabad,6.77,19.00 Km/l,999 cc
Renault,Kwid,Hatchback5,1.0 RXL(O),Petrol,Manual, Faridabad,5.68,23.00 Km/l,999 cc
Renault,Kiger,SUV5,RXE,Petrol,Manual, Faridabad,6.78,19.17 Km/l,999 cc
Renault,Triber,MPV,1.0 RXE,Petrol,Manual, Ghaziabad,6.95,19.00 Km/l,999 cc
Renault,Kwid,Hatchback5,1.0 RXL(O),Petrol,Manual, Ghaziabad,5.82,23.00 Km/l,999 cc
Renault,Kiger,SUV5,RXE,Petrol,Manual, Ghaziabad,6.95,19.17 Km/l,999 cc
Renault,Kiger,SUV5,RXE,Petrol,Manual, Gurgaon,6.78,19.17 Km/l,999 cc
Renault,Triber,MPV,1.0 RXE,Petrol,Manual, Gurgaon,6.77,19.00 Km/l,999 cc
Renault,Kwid,Hatchback5,1.0 RXL(O),Petrol,Manual, Gurgaon,5.68,23.00 Km/l,999 cc
Renault,Kiger,SUV5,RXT(O) CVT Turbo,Petrol,Automatic, Hyderabad,12.88,19.17 Km/l,999 cc
Renault,Kwid,Hatchback5,1.0 RXE,Petrol,Manual, Hyderabad,5.7,23.00 Km/l,999 cc
Renault,Triber,MPV,1.0 RXE,Petrol,Manual, Hyderabad,7.3,19.00 Km/l,999 cc
Renault,Kiger,SUV5,RXT(O) CVT Turbo,Petrol,Automatic, Jaipur,12.18,19.17 Km/l,999 cc
Renault,Kwid,Hatchback5,1.0 RXE,Petrol,Manual, Jaipur,5.58,23.00 Km/l,999 cc
Renault,Triber,MPV,1.0 RXE,Petrol,Manual, Jaipur,7.08,19.00 Km/l,999 cc
Renault,Kiger,SUV5,RXL,Petrol,Manual, Mumbai,7.88,19.17 Km/l,999 cc
Renault,Triber,MPV,1.0 RXE,Petrol,Manual, Mumbai,7.17,19.00 Km/l,999 cc
Renault,Kwid,Hatchback5,1.0 RXL(O),Petrol,Manual, Mumbai,6,23.00 Km/l,999 cc
Renault,Triber,MPV,1.0 RXE,Petrol,Manual, Noida,6.95,19.00 Km/l,999 cc
Renault,Kwid,Hatchback5,1.0 RXL(O),Petrol,Manual, Noida,5.82,23.00 Km/l,999 cc
Renault,Kiger,SUV5,RXE,Petrol,Manual, Noida,6.95,19.17 Km/l,999 cc
Renault,Kiger,SUV5,RXZ,Petrol,Manual, Pune,10.34,19.17 Km/l,999 cc
Renault,Kwid,Hatchback5,1.0 RXE,Petrol,Manual, Pune,5.59,23.00 Km/l,999 cc
Renault,Triber,MPV,1.0 RXZ AMT,Petrol,Automatic, Pune,10.28,19.00 Km/l,999 cc
Volkswagen,Virtus,Sedan5,1.5 GT Plus DSG,Petrol,Automatic, Ahmedabad,21.77,19.40 Km/l,999 cc
Volkswagen,Taigun,SUV2,1.5 GT Plus Edge DSG Matte (Electric Seats),Petrol,Automatic, Ahmedabad,22.73,18.10 Km/l,999 cc
Volkswagen,Tiguan,SUV2,2.0 Elegance TSI AT,Petrol,Automatic, Ahmedabad,40.01,12.65 Km/l,1984 cc
Volkswagen,Virtus (2022-2023),Sedan5,1.0 Comfortline TSI,Petrol,Manual, Ahmedabad,13.07,19.40 Km/l,999 cc
Volkswagen,Taigun (2021-2023),SUV2,1.5 GT Plus TSI AT,Petrol,Automatic, Ahmedabad,21.39,18.10 Km/l,999 cc
Volkswagen,Tiguan,SUV5,2.0 Elegance TSI AT,Petrol,Automatic, Bangalore,44.99,12.65 Km/l,1984 cc
Volkswagen,Taigun,SUV5,1.0 GT Line,Petrol,Manual, Bangalore,18.4,18.10 Km/l,999 cc
Volkswagen,Virtus,Sedan5,1.0 Comfortline,Petrol,Manual, Bangalore,14.54,19.40 Km/l,999 cc
Volkswagen,Virtus (2022-2023),Sedan5,1.0 Comfortline TSI,Petrol,Manual, Bangalore,14.55,19.40 Km/l,999 cc
Volkswagen,Taigun (2021-2023),SUV2,1.5 GT Plus TSI AT,Petrol,Automatic, Bangalore,23.82,18.10 Km/l,999 cc
Volkswagen,Virtus,Sedan5,1.5 GT Plus DSG,Petrol,Automatic, Chennai,24.09,19.40 Km/l,999 cc
Volkswagen,Taigun,SUV2,1.5 GT Plus Edge DSG Matte (Electric Seats),Petrol,Automatic, Chennai,25.15,18.10 Km/l,999 cc
Volkswagen,Tiguan,SUV2,2.0 Elegance TSI AT,Petrol,Automatic, Chennai,44.96,12.65 Km/l,1984 cc
Volkswagen,Virtus (2022-2023),Sedan5,1.0 Comfortline TSI,Petrol,Manual, Chennai,14.46,19.40 Km/l,999 cc
Volkswagen,Taigun (2021-2023),SUV2,1.5 GT Plus TSI AT,Petrol,Automatic, Chennai,23.66,18.10 Km/l,999 cc
Volkswagen,Virtus,Sedan5,1.0 Comfortline,Petrol,Manual, Delhi,13.48,19.40 Km/l,999 cc
Volkswagen,Taigun,SUV5,1.0 Comfortline,Petrol,Manual, Delhi,13.65,18.10 Km/l,999 cc
Volkswagen,Tiguan,SUV2,2.0 Elegance TSI AT,Petrol,Automatic, Delhi,41.41,12.65 Km/l,1984 cc
Volkswagen,Virtus (2022-2023),Sedan5,1.0 Comfortline TSI,Petrol,Manual, Delhi,13.53,19.40 Km/l,999 cc
Volkswagen,Taigun (2021-2023),SUV2,1.5 GT Plus TSI AT,Petrol,Automatic, Delhi,22.14,18.10 Km/l,999 cc
Volkswagen,Virtus,Sedan5,1.5 GT Plus DSG,Petrol,Automatic, Faridabad,21.89,19.40 Km/l,999 cc
Volkswagen,Taigun,SUV2,1.5 GT Plus Edge DSG Matte (Electric Seats),Petrol,Automatic, Faridabad,22.9,18.10 Km/l,999 cc
Volkswagen,Tiguan,SUV2,2.0 Elegance TSI AT,Petrol,Automatic, Faridabad,41.49,12.65 Km/l,1984 cc
Volkswagen,Virtus (2022-2023),Sedan5,1.0 Comfortline TSI,Petrol,Manual, Faridabad,13.34,19.40 Km/l,999 cc
Volkswagen,Taigun (2021-2023),SUV2,1.5 GT Plus TSI AT,Petrol,Automatic, Faridabad,21.81,18.10 Km/l,999 cc
Volkswagen,Virtus,Sedan5,1.5 GT Plus DSG,Petrol,Automatic, Ghaziabad,22.28,19.40 Km/l,999 cc
Volkswagen,Taigun,SUV2,1.5 GT Plus Edge DSG Matte (Electric Seats),Petrol,Automatic, Ghaziabad,23.33,18.10 Km/l,999 cc
Volkswagen,Tiguan,SUV2,2.0 Elegance TSI AT,Petrol,Automatic, Ghaziabad,41.48,12.65 Km/l,1984 cc
Volkswagen,Virtus (2022-2023),Sedan5,1.0 Comfortline TSI,Petrol,Manual, Ghaziabad,13.55,19.40 Km/l,999 cc
Volkswagen,Taigun (2021-2023),SUV2,1.5 GT Plus TSI AT,Petrol,Automatic, Ghaziabad,22.16,18.10 Km/l,999 cc
Volkswagen,Virtus,Sedan5,1.5 GT Plus DSG,Petrol,Automatic, Gurgaon,21.89,19.40 Km/l,999 cc
Volkswagen,Taigun,SUV2,1.5 GT Plus Edge DSG Matte (Electric Seats),Petrol,Automatic, Gurgaon,22.9,18.10 Km/l,999 cc
Volkswagen,Tiguan,SUV2,2.0 Elegance TSI AT,Petrol,Automatic, Gurgaon,41.49,12.65 Km/l,1984 cc
Volkswagen,Virtus (2022-2023),Sedan5,1.0 Comfortline TSI,Petrol,Manual, Gurgaon,13.34,19.40 Km/l,999 cc
Volkswagen,Taigun (2021-2023),SUV2,1.5 GT Plus TSI AT,Petrol,Automatic, Gurgaon,21.81,18.10 Km/l,999 cc
Volkswagen,Virtus,Sedan5,1.5 GT Plus DSG,Petrol,Automatic, Hyderabad,23.88,19.40 Km/l,999 cc
Volkswagen,Taigun,SUV2,1.5 GT Plus Edge DSG Matte (Electric Seats),Petrol,Automatic, Hyderabad,24.94,18.10 Km/l,999 cc
Volkswagen,Tiguan,SUV2,2.0 Elegance TSI AT,Petrol,Automatic, Hyderabad,44.24,12.65 Km/l,1984 cc
Volkswagen,Virtus (2022-2023),Sedan5,1.0 Comfortline TSI,Petrol,Manual, Hyderabad,14.34,19.40 Km/l,999 cc
Volkswagen,Taigun (2021-2023),SUV2,1.5 GT Plus TSI AT,Petrol,Automatic, Hyderabad,23.46,18.10 Km/l,999 cc
Volkswagen,Virtus,Sedan5,1.5 GT Plus DSG,Petrol,Automatic, Jaipur,22.84,19.40 Km/l,999 cc
Volkswagen,Taigun,SUV2,1.5 GT Plus Edge DSG Matte (Electric Seats),Petrol,Automatic, Jaipur,23.85,18.10 Km/l,999 cc
Volkswagen,Tiguan,SUV2,2.0 Elegance TSI AT,Petrol,Automatic, Jaipur,41.89,12.65 Km/l,1984 cc
Volkswagen,Virtus (2022-2023),Sedan5,1.0 Comfortline TSI,Petrol,Manual, Jaipur,13.56,19.40 Km/l,999 cc
Volkswagen,Taigun (2021-2023),SUV2,1.5 GT Plus TSI AT,Petrol,Automatic, Jaipur,22.44,18.10 Km/l,999 cc
Volkswagen,Tiguan,SUV5,2.0 Elegance TSI AT,Petrol,Automatic, Mumbai,45.72,12.65 Km/l,1984 cc
Volkswagen,Taigun,SUV5,1.0 GT Line AT,Petrol,Automatic, Mumbai,18.67,18.10 Km/l,999 cc
Volkswagen,Virtus,Sedan5,1.0 Comfortline,Petrol,Manual, Mumbai,13.75,19.40 Km/l,999 cc
Volkswagen,Virtus (2022-2023),Sedan5,1.0 Comfortline TSI,Petrol,Manual, Mumbai,13.3,19.40 Km/l,999 cc
Volkswagen,Taigun (2021-2023),SUV2,1.5 GT Plus TSI AT,Petrol,Automatic, Mumbai,21.77,18.10 Km/l,999 cc
Volkswagen,Virtus,Sedan5,1.5 GT Plus DSG,Petrol,Automatic, Noida,22.28,19.40 Km/l,999 cc
Volkswagen,Taigun,SUV2,1.5 GT Plus Edge DSG Matte (Electric Seats),Petrol,Automatic, Noida,23.33,18.10 Km/l,999 cc
Volkswagen,Tiguan,SUV2,2.0 Elegance TSI AT,Petrol,Automatic, Noida,41.48,12.65 Km/l,1984 cc
Volkswagen,Virtus (2022-2023),Sedan5,1.0 Comfortline TSI,Petrol,Manual, Noida,13.55,19.40 Km/l,999 cc
Volkswagen,Taigun (2021-2023),SUV2,1.5 GT Plus TSI AT,Petrol,Automatic, Noida,22.16,18.10 Km/l,999 cc
Volkswagen,Virtus,Sedan5,1.5 GT Plus DSG,Petrol,Automatic, Pune,22.71,19.40 Km/l,999 cc
Volkswagen,Taigun,SUV2,1.5 GT Plus Edge DSG Matte (Electric Seats),Petrol,Automatic, Pune,23.64,18.10 Km/l,999 cc
Volkswagen,Tiguan,SUV2,2.0 Elegance TSI AT,Petrol,Automatic, Pune,41.08,12.65 Km/l,1984 cc
Volkswagen,Virtus (2022-2023),Sedan5,1.0 Comfortline TSI,Petrol,Manual, Pune,13.3,19.40 Km/l,999 cc
Volkswagen,Taigun (2021-2023),SUV2,1.5 GT Plus TSI AT,Petrol,Automatic, Pune,21.77,18.10 Km/l,999 cc
Kia,Carens,SUV6,1.5 Prestige(O) 6 STR Petrol,Petrol,Manual, Ahmedabad,14,15.70 Km/l,1497 cc
Kia,Sonet,SUV5,1.5 X Line AT,Diesel,Automatic, Ahmedabad,17.95,18.40 Km/l,1197 cc
Kia,EV9,SUV6,GT-Line AWD,Electric,Automatic, Ahmedabad,1.47,561.00 Km/full charge,99800 watt
Kia,EV6,SUV5,GT Line AWD,Electric,Automatic, Ahmedabad,71.99,708.00 Km/full charge,77400 watt
Kia,Carnival,SUV7,Limousine Plus,Diesel,Automatic, Ahmedabad,72.68,14.85 Km/l,2151 cc
Kia,Seltos,SUV5,1.5 GTX Plus DCT GDi,Petrol,Automatic, Ahmedabad,22.73,17.90 Km/l,1482 cc
Kia,Carnival (2020-2023),SUV7,Limousine 7 Seater,Diesel,Automatic, Ahmedabad,38.64,14.11 Km/l,2199 cc
Kia,Carens (2022-2023),SUV6,1.5 Premium 7 STR Diesel,Diesel,Manual, Ahmedabad,13.87,15.70 Km/l,1497 cc
Kia,Sonet (2023-2024),SUV5,1.5 HTK Plus iMT Diesel,Diesel,Manual, Ahmedabad,13.01,18.40 Km/l,1197 cc
Kia,Seltos (2022-2023),SUV5,1.5 HTX IVT,Petrol,Automatic, Ahmedabad,16.29,18.00 Km/l,1493 cc
Kia,Seltos (2023-2023),SUV5,1.5 HTE iMT Diesel,Diesel,Manual, Ahmedabad,14.14,21.00 Km/l,1493 cc
Kia,Sonet (2020-2023),SUV5,1.0 HTK Plus DCT,Petrol,Automatic, Ahmedabad,12.29,18.40 Km/l,1197 cc
Kia,Seltos,SUV5,1.5 HTK,Petrol,Manual, Bangalore,15.51,17.90 Km/l,1482 cc
Kia,Sonet,SUV5,1.2 HTE(O),Petrol,Manual, Bangalore,10.17,18.40 Km/l,1197 cc
Kia,Carens,SUV7,1.5 Premium(O) 7 STR Diesel,Diesel,Manual, Bangalore,16.35,15.70 Km/l,1497 cc
Kia,EV9,SUV6,GT-Line AWD,Electric,Automatic, Bangalore,1.4,561.00 Km/full charge,99800 watt
Kia,EV6,SUV5,GT Line AWD,Electric,Automatic, Bangalore,67.91,708.00 Km/full charge,77400 watt
Kia,Carnival,SUV7,Limousine Plus,Diesel,Automatic, Bangalore,80.36,14.85 Km/l,2151 cc
